7.281555504,4.697170054,"""400K"""
7.547734341,4.403457329,"""400K"""
7.819039976,4.293072741,"""400K"""
8.703123459,4.237123328,"""400K"""
10.41447428,4.226332549,"""400K"""
7.281555504,4.470731567,"""3M"""
7.547734341,4.002748055,"""3M"""
7.819039976,3.810428579,"""3M"""
8.100097776,3.733946075,"""3M"""
8.401141829,3.702918398,"""3M"""
8.703123459,3.665876915,"""3M"""
10.41447428,3.644102633,"""3M"""
7.2729891,4.119646751,"""25M"""
7.552178038,3.822800446,"""25M"""
7.819039976,3.595973938,"""25M"""
8.104866674,3.40575628,"""25M"""
8.401141829,3.275441744,"""25M"""
8.708247386,3.1933429,"""25M"""
10.42060576,3.136742254,"""25M"""
7.277271042,4.147829349,"""85M"""
7.552178038,3.822800446,"""85M"""
7.814439258,3.553332698,"""85M"""
8.100097776,3.348213492,"""85M"""
8.406087966,3.171119548,"""85M"""
8.703123459,2.998246139,"""85M"""
9.026579253,2.928087835,"""85M"""
10.40834641,2.861018696,"""85M"""
7.285842489,4.133743086,"""302M"""
7.543293259,3.822778951,"""302M"""
7.819039976,3.553342688,"""302M"""
8.100097776,3.325473266,"""302M"""
8.396198603,3.138850643,"""302M"""
8.718504292,2.917643472,"""302M"""
9.02126802,2.763284424,"""302M"""
10.41447428,2.591830159,"""302M"""
7.277271042,4.240722399,"""708M"""
7.547734341,3.822789698,"""708M"""
7.819039976,3.565471209,"""708M"""
8.100097776,3.331143802,"""708M"""
8.411037014,3.149590955,"""708M"""
8.692884648,2.937553585,"""708M"""
9.026579253,2.730532612,"""708M"""
10.41447428,2.433489562,"""708M"""
